,Median_income
60007,75743
60018,60566
60106,67325
60131,57815
60176,53360
60601,109589
60602,25272
60603,83820
60604,171463
60605,64706
60606,112764
60607,59427
60608,33821
60609,31357
60610,70682
60611,93374
60612,31941
60613,63528
60614,93702
60615,41344
60616,41111
60617,43572
60618,55303
60619,42754
60620,45717
60621,23875
60622,54344
60623,34670
60624,28695
60625,53288
60626,38951
60628,47232
60629,50099
60630,60553
60631,67465
60632,46811
60633,50754
60634,62214
60636,33080
60637,30244
60638,56616
60639,50923
60640,44410
60641,54544
60642,
60643,62868
60644,35248
60645,52022
60646,74229
60647,46572
60649,35616
60651,41711
60652,64997
60653,18464
60654,0
60655,73296
60656,59157
60657,74895
60659,55851
60660,45169
60661,77290
60666,0
60706,57171
60707,60345
60712,87478
60714,59719
60803,57018
60827,39986
